seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1370845	1370861	17	*	X00204	64856	1370903	1378262	7360	+	41	upstream	41	VWA1
chr1	1370864	1370875	12	*	X00205	64856	1370903	1378262	7360	+	27	upstream	27	VWA1
chr1	1846315	1846326	12	*	X00268	163688	1846266	1848733	2468	+	0	inside	48	CALML6
chr1	2139349	2139394	46	*	X00310	199990	2115899	2139172	23274	-	176	upstream	176	FAAP20
chr1	2139397	2139409	13	*	X00311	199990	2115899	2139172	23274	-	224	upstream	224	FAAP20
chr1	3567711	3567721	11	*	X00464	49856	3547331	3566671	19341	-	1039	upstream	1039	WRAP73
chr1	3567711	3567721	11	*	X00464	7161	3569129	3652765	83637	+	1407	upstream	1407	TP73
chr1	4000124	4000133	10	*	X00480	728716	4000672	4012643	11972	+	538	upstream	538	LINC01346
chr1	6051652	6051660	9	*	X00494	8514	6052358	6161253	108896	+	697	upstream	697	KCNAB2
chr1	6053479	6053487	9	*	X00495	261734	5922870	6052533	129664	-	945	upstream	945	NPHP4
chr1	6260505	6260513	9	*	X00516	6146	6245080	6259679	14600	-	825	upstream	825	RPL22
chr1	6322077	6322085	9	*	X00521	387509	6307406	6321035	13630	-	1041	upstream	1041	GPR153
chr1	6322695	6322703	9	*	X00522	387509	6307406	6321035	13630	-	1659	upstream	1659	GPR153
chr1	6454198	6454206	9	*	X00535	11332	6324332	6453826	129495	-	371	upstream	371	ACOT7
chr1	6762243	6762252	10	*	X00563	55735	6694228	6761966	67739	-	276	upstream	276	DNAJC11
chr1	7829770	7829778	9	*	X00583	9341	7831329	7841492	10164	+	1550	upstream	1550	VAMP3
chr1	8938332	8938340	9	*	X00613	100505975	8938894	8939943	1050	+	553	upstream	553	ENO1-AS1
chr1	8938432	8938440	9	*	X00614	100505975	8938894	8939943	1050	+	453	upstream	453	ENO1-AS1
chr1	9189135	9189143	9	*	X00617	80045	9164476	9189229	24754	-	0	inside	85	GPR157
chr1	9294419	9294427	9	*	X00620	9563	9294863	9331394	36532	+	435	upstream	435	H6PD
chr1	9294983	9294991	9	*	X00621	9563	9294863	9331394	36532	+	0	inside	119	H6PD
chr1	9599618	9599626	9	*	X00641	84275	9599528	9642831	43304	+	0	inside	89	SLC25A33
chr1	9884726	9884734	9	*	X00649	22883	9789079	9884550	95472	-	175	upstream	175	CLSTN1
chr1	9884950	9884959	10	*	X00650	22883	9789079	9884550	95472	-	399	upstream	399	CLSTN1
chr1	10490250	10490261	12	*	X00661	100526739	10490159	10512060	21902	+	0	inside	90	CENPS-CORT
chr1	10490250	10490261	12	*	X00661	378708	10490159	10502872	12714	+	0	inside	90	CENPS
chr1	10856669	10856678	10	*	X00684	54897	10696666	10856733	160068	-	0	inside	54	CASZ1
chr1	10856914	10856925	12	*	X00685	54897	10696666	10856733	160068	-	180	upstream	180	CASZ1
chr1	11159943	11159953	11	*	X00689	5394	11126676	11159938	33263	-	4	upstream	4	EXOSC10
chr1	11323553	11323592	40	*	X00690	2475	11166588	11322608	156021	-	944	upstream	944	MTOR
chr1	11715947	11715956	10	*	X00699	26232	11708418	11714888	6471	-	1058	upstream	1058	FBXO2
chr1	11750988	11751004	17	*	X00702	374946	11751781	11780336	28556	+	776	upstream	776	DRAXIN
chr1	11751007	11751018	12	*	X00703	374946	11751781	11780336	28556	+	762	upstream	762	DRAXIN
chr1	11986790	11986805	16	*	X00726	90231	11979645	11986485	6841	-	304	upstream	304	KIAA2013
chr1	12123551	12123559	9	*	X00747	943	12123434	12204264	80831	+	0	inside	116	TNFRSF8
chr1	14924582	14924590	9	*	X00784	23254	14925213	15444544	519332	+	622	upstream	622	KAZN
chr1	15479887	15479915	29	*	X00789	200197	15438311	15478960	40650	-	926	upstream	926	TMEM51-AS1
chr1	15480903	15480912	10	*	X00790	200197	15438311	15478960	40650	-	1942	upstream	1942	TMEM51-AS1
chr1	15480915	15480924	10	*	X00791	200197	15438311	15478960	40650	-	1954	upstream	1954	TMEM51-AS1
chr1	15736291	15736300	10	*	X00796	79180	15736391	15756839	20449	+	90	upstream	90	EFHD2
chr1	15911544	15911554	11	*	X00802	79814	15898194	15911605	13412	-	0	inside	50	AGMAT
chr1	16060941	16060949	9	*	X00807	284723	16062809	16067884	5076	+	1859	upstream	1859	SLC25A34
chr1	16343896	16343904	9	*	X00823	1187	16345370	16360545	15176	+	1465	upstream	1465	CLCNKA
chr1	16400793	16400801	9	*	X00832	348487	16384264	16400127	15864	-	665	upstream	665	FAM131C
chr1	16400880	16400892	13	*	X00833	348487	16384264	16400127	15864	-	752	upstream	752	FAM131C
chr1	16679007	16679017	11	*	X00846	54455	16576559	16678948	102390	-	58	upstream	58	FBXO42
chr1	16679975	16679983	9	*	X00847	54455	16576559	16678948	102390	-	1026	upstream	1026	FBXO42
chr1	16971219	16971228	10	*	X00854	11209	16972069	16976915	4847	+	840	upstream	840	MST1P2
chr1	16971219	16971228	10	*	X00854	84809	16944751	16971178	26428	-	40	upstream	40	CROCCP2
chr1	16971250	16971261	12	*	X00855	11209	16972069	16976915	4847	+	807	upstream	807	MST1P2
chr1	16971250	16971261	12	*	X00855	84809	16944751	16971178	26428	-	71	upstream	71	CROCCP2
chr1	16972404	16972414	11	*	X00856	84809	16944751	16971178	26428	-	1225	upstream	1225	CROCCP2
chr1	16972609	16972617	9	*	X00857	84809	16944751	16971178	26428	-	1430	upstream	1430	CROCCP2
chr1	17634769	17634778	10	*	X00869	23569	17634690	17690495	55806	+	0	inside	78	PADI4
chr1	19812442	19812451	10	*	X00900	832	19665267	19812066	146800	-	375	upstream	375	CAPZB
chr1	19922723	19922737	15	*	X00901	100532736	19923471	19984949	61479	+	733	upstream	733	MICOS10-NBL1
chr1	19922723	19922737	15	*	X00901	440574	19923471	19956315	32845	+	733	upstream	733	MICOS10
chr1	19991386	19991394	9	*	X00902	3362	19991780	20006055	14276	+	385	upstream	385	HTR6
chr1	20510671	20510722	52	*	X00908	127733	20512578	20519942	7365	+	1855	upstream	1855	UBXN10
chr1	20617332	20617340	9	*	X00910	127731	20617412	20681387	63976	+	71	upstream	71	VWA5B1
chr1	20617660	20617670	11	*	X00911	127731	20617412	20681387	63976	+	0	inside	247	VWA5B1
chr1	20617673	20617676	4	*	X00912	127731	20617412	20681387	63976	+	0	inside	260	VWA5B1
chr1	20812998	20813007	10	*	X00914	55450	20808884	20812728	3845	-	269	upstream	269	CAMK2N1
chr1	20959361	20959374	14	*	X00916	65018	20959948	20978004	18057	+	573	upstream	573	PINK1
chr1	21044097	21044106	10	*	X00918	57576	20990507	21044317	53811	-	0	inside	210	KIF17
chr1	21672379	21672442	64	*	X00929	1889	21543740	21672034	128295	-	344	upstream	344	ECE1
chr1	21672560	21672573	14	*	X00930	1889	21543740	21672034	128295	-	525	upstream	525	ECE1
chr1	21672598	21672607	10	*	X00931	1889	21543740	21672034	128295	-	563	upstream	563	ECE1
chr1	21672632	21672643	12	*	X00932	1889	21543740	21672034	128295	-	597	upstream	597	ECE1
chr1	21672668	21672707	40	*	X00933	1889	21543740	21672034	128295	-	633	upstream	633	ECE1
chr1	21672970	21672981	12	*	X00934	1889	21543740	21672034	128295	-	935	upstream	935	ECE1
chr1	21673006	21673015	10	*	X00935	1889	21543740	21672034	128295	-	971	upstream	971	ECE1
chr1	21673080	21673091	12	*	X00936	1889	21543740	21672034	128295	-	1045	upstream	1045	ECE1
chr1	21673116	21673129	14	*	X00937	1889	21543740	21672034	128295	-	1081	upstream	1081	ECE1
chr1	21673290	21673302	13	*	X00938	1889	21543740	21672034	128295	-	1255	upstream	1255	ECE1
chr1	21673521	21673529	9	*	X00939	1889	21543740	21672034	128295	-	1486	upstream	1486	ECE1
chr1	22264240	22264250	11	*	X00972	3339	22148737	22263750	115014	-	489	upstream	489	HSPG2
chr1	22264267	22264278	12	*	X00973	3339	22148737	22263750	115014	-	516	upstream	516	HSPG2
chr1	22379034	22379044	11	*	X00975	998	22379120	22419436	40317	+	75	upstream	75	CDC42
chr1	22889673	22889682	10	*	X00987	2046	22890004	22930087	40084	+	321	upstream	321	EPHA8
chr1	22889827	22889840	14	*	X00988	2046	22890004	22930087	40084	+	163	upstream	163	EPHA8
chr1	23037361	23037370	10	*	X00991	2048	23037331	23241823	204493	+	0	inside	29	EPHB2
chr1	23751670	23751717	48	*	X01006	6920	23707555	23751261	43707	-	408	upstream	408	TCEA3
chr1	23811475	23811485	11	*	X01007	55616	23755056	23811057	56002	-	417	upstream	417	ASAP3
chr1	23885990	23886000	11	*	X01012	3399	23884421	23886285	1865	-	0	inside	284	ID3
chr1	24069764	24069772	9	*	X01016	6924	24069856	24088549	18694	+	83	upstream	83	ELOA
chr1	24240555	24240576	22	*	X01018	1269	24200460	24239817	39358	-	737	upstream	737	CNR2
chr1	24286010	24286018	9	*	X01019	55629	24286301	24289949	3649	+	282	upstream	282	PNRC2
chr1	24439176	24439184	9	*	X01024	127294	24382531	24438665	56135	-	510	upstream	510	MYOM3
chr1	25756806	25756816	11	*	X01039	55219	25757388	25826698	69311	+	571	upstream	571	MACO1
chr1	25756806	25756816	11	*	X01039	6006	25688740	25756683	67944	-	122	upstream	122	RHCE
chr1	25869577	25869585	9	*	X01046	26119	25870076	25895377	25302	+	490	upstream	490	LDLRAP1
chr1	25870283	25870293	11	*	X01047	26119	25870076	25895377	25302	+	0	inside	206	LDLRAP1
chr1	25942211	25942219	9	*	X01055	57134	25943959	26111258	167300	+	1739	upstream	1739	MAN1C1
chr1	25943339	25943351	13	*	X01056	57134	25943959	26111258	167300	+	607	upstream	607	MAN1C1
chr1	25943743	25943753	11	*	X01057	57134	25943959	26111258	167300	+	205	upstream	205	MAN1C1
chr1	26145879	26145921	43	*	X01059	56181	26146397	26159433	13037	+	475	upstream	475	MTFR1L
chr1	26187391	26187430	40	*	X01060	79000	26160497	26185848	25352	-	1542	upstream	1542	AUNIP
chr1	26187616	26187624	9	*	X01061	79000	26160497	26185848	25352	-	1767	upstream	1767	AUNIP
chr1	26496199	26496207	9	*	X01081	51042	26496388	26497364	977	+	180	upstream	180	ZNF593
chr1	26496418	26496427	10	*	X01082	51042	26496388	26497364	977	+	0	inside	29	ZNF593
chr1	26680819	26680827	9	*	X01091	55057	26648350	26680621	32272	-	197	upstream	197	CRYBG2
chr1	26735771	26735795	25	*	X01100	79727	26737269	26756219	18951	+	1473	upstream	1473	LIN28A
chr1	26735798	26735807	10	*	X01101	79727	26737269	26756219	18951	+	1461	upstream	1461	LIN28A
chr1	26736870	26736909	40	*	X01102	79727	26737269	26756219	18951	+	359	upstream	359	LIN28A
chr1	26737049	26737057	9	*	X01103	79727	26737269	26756219	18951	+	211	upstream	211	LIN28A
chr1	27240819	27240827	9	*	X01122	8431	27237975	27240567	2593	-	251	upstream	251	NR0B2
chr1	27248207	27248220	14	*	X01123	10726	27248213	27273362	25150	+	0	overlapStart	0	NUDC
chr1	27647823	27647852	30	*	X01135	84065	27648636	27662891	14256	+	783	upstream	783	TMEM222
chr1	27930712	27930715	4	*	X01158	27245	27860756	27930361	69606	-	350	upstream	350	AHDC1
chr1	27931321	27931329	9	*	X01159	27245	27860756	27930361	69606	-	959	upstream	959	AHDC1
chr1	28099661	28099671	11	*	X01161	23673	28099694	28150963	51270	+	22	upstream	22	STX12
chr1	28099691	28099700	10	*	X01162	23673	28099694	28150963	51270	+	0	overlapStart	0	STX12
chr1	28285218	28285228	11	*	X01167	55113	28286504	28294604	8101	+	1275	upstream	1275	XKR8
chr1	28286096	28286104	9	*	X01168	55113	28286504	28294604	8101	+	399	upstream	399	XKR8
chr1	28878806	28878821	16	*	X01179	54952	28879529	28905057	25529	+	707	upstream	707	TRNAU1AP
chr1	28878911	28878926	16	*	X01180	54952	28879529	28905057	25529	+	602	upstream	602	TRNAU1AP
chr1	28879250	28879260	11	*	X01181	54952	28879529	28905057	25529	+	268	upstream	268	TRNAU1AP
chr1	28879290	28879300	11	*	X01182	54952	28879529	28905057	25529	+	228	upstream	228	TRNAU1AP
chr1	28908528	28908536	9	*	X01183	677825	28906893	28907024	132	-	1503	upstream	1503	SNORA44
chr1	28908528	28908536	9	*	X01183	692073	28907432	28907565	134	-	962	upstream	962	SNORA16A
chr1	28908528	28908536	9	*	X01183	85028	28905050	28908383	3334	-	144	upstream	144	SNHG12
chr1	29212150	29212175	26	*	X01196	2035	29213603	29446558	232956	+	1427	upstream	1427	EPB41
chr1	31190269	31190278	10	*	X01217	100129196	31191619	31199593	7975	+	1340	upstream	1340	MATN1-AS1
chr1	31190480	31190488	9	*	X01218	100129196	31191619	31199593	7975	+	1130	upstream	1130	MATN1-AS1
chr1	31230470	31230486	17	*	X01221	7805	31205315	31230683	25369	-	0	inside	196	LAPTM5
chr1	31381997	31382006	10	*	X01257	9672	31342313	31381480	39168	-	516	upstream	516	SDC3
chr1	32171589	32171592	4	*	X01278	1307	32117848	32169768	51921	-	1820	upstream	1820	COL16A1
chr1	32230632	32230641	10	*	X01282	576	32192718	32229648	36931	-	983	upstream	983	ADGRB2
chr1	32479444	32479448	5	*	X01297	10657	32479295	32526460	47166	+	0	inside	148	KHDRBS1
chr1	32645549	32645557	9	*	X01301	200081	32645345	32663886	18542	+	0	inside	203	TXLNA
chr1	32670576	32670590	15	*	X01302	55721	32671236	32674288	3053	+	645	upstream	645	IQCC
chr1	33116825	33116833	9	*	X01330	5928	33116749	33151812	35064	+	0	inside	75	RBBP4
chr1	33116825	33116833	9	*	X01330	339487	33065773	33116185	50413	-	639	upstream	639	ZBTB8OS
chr1	33502495	33502505	11	*	X01342	204	33473541	33502512	28972	-	0	inside	6	AK2
chr1	33648203	33648236	34	*	X01345	55223	33611003	33647671	36669	-	531	upstream	531	TRIM62
chr1	33896555	33896565	11	*	X01355	1912	33789224	33896615	107392	-	0	inside	49	PHC2
chr1	36236133	36236141	9	*	X01377	63967	36197713	36235551	37839	-	581	upstream	581	CLSPN
chr1	36272590	36272601	12	*	X01378	192670	36273828	36323490	49663	+	1226	upstream	1226	AGO4
chr1	36789972	36789980	9	*	X01404	55194	36787632	36789755	2124	-	216	upstream	216	EVA1B
chr1	36852459	36852467	9	*	X01412	83931	36805225	36851485	46261	-	973	upstream	973	STK40
chr1	36853371	36853395	25	*	X01413	83931	36805225	36851485	46261	-	1885	upstream	1885	STK40
chr1	37939113	37939143	31	*	X01432	80149	37940119	37949978	9860	+	975	upstream	975	ZC3H12A
chr1	37980429	37980437	9	*	X01434	64769	37955561	37980420	24860	-	8	upstream	8	MEAF6
chr1	38231344	38231390	47	*	X01446	284656	38179553	38230824	51272	-	519	upstream	519	EPHA10
chr1	38232245	38232247	3	*	X01447	284656	38179553	38230824	51272	-	1420	upstream	1420	EPHA10
chr1	38478110	38478119	10	*	X01451	51118	38478384	38490497	12114	+	264	upstream	264	UTP11
chr1	39338879	39338887	9	*	X01469	26292	39328162	39339050	10889	-	0	inside	162	MYCBP
chr1	40042757	40042767	11	*	X01488	8761	40026485	40042521	16037	-	235	upstream	235	PABPC4
chr1	40137835	40137843	9	*	X01490	84618	40124793	40137710	12918	-	124	upstream	124	NT5C1A
chr1	40254854	40254862	9	*	X01496	656	40223903	40254533	30631	-	320	upstream	320	BMP8B
chr1	40367548	40367559	12	*	X01498	4610	40361096	40367687	6592	-	0	inside	127	MYCL
chr1	40367607	40367616	10	*	X01499	4610	40361096	40367687	6592	-	0	inside	70	MYCL
chr1	40504469	40504477	9	*	X01502	10487	40506255	40538321	32067	+	1777	upstream	1777	CAP1
chr1	40504725	40504735	11	*	X01503	10487	40506255	40538321	32067	+	1519	upstream	1519	CAP1
chr1	40782907	40782916	10	*	X01507	1298	40766163	40783060	16898	-	0	inside	143	COL9A2
chr1	41249076	41249084	9	*	X01515	9132	41249684	41306124	56441	+	599	upstream	599	KCNQ4
chr1	41328830	41328838	9	*	X01524	163732	41326728	41328018	1291	-	811	upstream	811	CITED4
chr1	41487166	41487175	10	*	X01530	200172	41481269	41487427	6159	-	0	inside	251	SLFNL1
chr1	41951172	41951181	10	*	X01535	1907	41944446	41950344	5899	-	827	upstream	827	EDN2
chr1	42501798	42501806	9	*	X01541	59269	41972036	42501596	529561	-	201	upstream	201	HIVEP3
chr1	42631788	42631816	29	*	X01542	2980	42628362	42630395	2034	-	1392	upstream	1392	GUCA2A
chr1	43123029	43123037	9	*	X01546	10465	43124048	43142429	18382	+	1010	upstream	1010	PPIH
chr1	43231694	43231696	3	*	X01550	79078	43232916	43241413	8498	+	1219	upstream	1219	C1orf50
chr1	43234411	43234419	9	*	X01551	64175	43212006	43232755	20750	-	1655	upstream	1655	P3H1
chr1	43284841	43284888	48	*	X01552	374969	43272723	43283059	10337	-	1781	upstream	1781	SVBP
chr1	43637796	43637805	10	*	X01565	149465	43638001	43720029	82029	+	195	upstream	195	CFAP57
chr1	44513676	44513727	52	*	X01594	128209	44514030	44600809	86780	+	302	upstream	302	KLF17
chr1	44870863	44870898	36	*	X01604	55182	44870960	45117396	246437	+	61	upstream	61	RNF220
chr1	44871229	44871239	11	*	X01605	55182	44870960	45117396	246437	+	0	inside	268	RNF220
chr1	45308381	45308392	12	*	X01623	8643	45285516	45308616	23101	-	0	inside	223	PTCH2
chr1	45452441	45452449	9	*	X01626	8891	45316194	45452394	136201	-	46	upstream	46	EIF2B3
chr1	45476614	45476623	10	*	X01627	7389	45477805	45481341	3537	+	1181	upstream	1181	UROD
chr1	45964395	45964405	11	*	X01629	25974	45965856	45976739	10884	+	1450	upstream	1450	MMACHC
chr1	46152743	46152752	10	*	X01638	51249	46153847	46160108	6262	+	1094	upstream	1094	TMEM69
chr1	46152743	46152752	10	*	X01638	60313	46092976	46152302	59327	-	440	upstream	440	GPBP1L1
chr1	46216308	46216316	9	*	X01641	3652	46159998	46216485	56488	-	0	inside	168	IPP
chr1	46216468	46216478	11	*	X01642	3652	46159998	46216485	56488	-	0	inside	6	IPP
chr1	46269195	46269204	10	*	X01643	23139	46269285	46501796	232512	+	80	upstream	80	MAST2
chr1	46269245	46269256	12	*	X01644	23139	46269285	46501796	232512	+	28	upstream	28	MAST2
chr1	46639539	46639549	11	*	X01648	10103	46640749	46651634	10886	+	1199	upstream	1199	TSPAN1
chr1	46640762	46640770	9	*	X01649	10103	46640749	46651634	10886	+	0	inside	12	TSPAN1
chr1	46668594	46668630	37	*	X01654	541468	46669006	46686928	17923	+	375	upstream	375	LURAP1
chr1	46668903	46668911	9	*	X01655	541468	46669006	46686928	17923	+	94	upstream	94	LURAP1
chr1	46804509	46804520	12	*	X01659	387338	46805849	46830824	24976	+	1328	upstream	1328	NSUN4
chr1	46859968	46859976	9	*	X01661	2166	46859939	46879520	19582	+	0	inside	28	FAAH
chr1	47184629	47184637	9	*	X01683	9813	47124359	47184736	60378	-	0	inside	98	EFCAB14
chr1	47657059	47657107	49	*	X01687	10158	47649261	47655771	6511	-	1287	upstream	1287	PDZK1IP1
chr1	47657119	47657133	15	*	X01688	10158	47649261	47655771	6511	-	1347	upstream	1347	PDZK1IP1
chr1	47657140	47657148	9	*	X01689	10158	47649261	47655771	6511	-	1368	upstream	1368	PDZK1IP1
chr1	48463299	48463307	9	*	X01697	388630	48226200	48462562	236363	-	736	upstream	736	TRABD2B
chr1	51433856	51433864	9	*	X01702	1031	51433608	51440309	6702	+	0	inside	247	CDKN2C
chr1	51700734	51700747	14	*	X01705	26994	51701945	51739119	37175	+	1197	upstream	1197	RNF11
chr1	53308380	53308389	10	*	X01735	440590	53308183	53360247	52065	+	0	inside	196	ZYG11A
chr1	53392935	53392943	9	*	X01739	6342	53392901	53517289	124389	+	0	inside	33	SCP2
chr1	53392935	53392943	9	*	X01739	55268	53361582	53392851	31270	-	83	upstream	83	ECHDC2
chr1	53793821	53793829	9	*	X01750	7804	53708041	53793821	85781	-	0	overlapStart	0	LRP8
chr1	53794137	53794146	10	*	X01751	7804	53708041	53793821	85781	-	315	upstream	315	LRP8
chr1	55271673	55271683	11	*	X01813	163747	55271736	55307937	36202	+	52	upstream	52	LEXM
chr1	55352633	55352641	9	*	X01814	1718	55315300	55352921	37622	-	0	inside	279	DHCR24
chr1	55352760	55352769	10	*	X01815	1718	55315300	55352921	37622	-	0	inside	151	DHCR24
chr1	55464578	55464587	10	*	X01817	7809	55464617	55474465	9849	+	29	upstream	29	BSND
chr1	59248874	59248882	9	*	X01835	100131060	59250823	59365384	114562	+	1940	upstream	1940	LINC01135
chr1	59250745	59250755	11	*	X01836	100131060	59250823	59365384	114562	+	67	upstream	67	LINC01135
chr1	59250745	59250755	11	*	X01836	3725	59246463	59249785	3323	-	959	upstream	959	JUN
chr1	59250779	59250803	25	*	X01837	100131060	59250823	59365384	114562	+	19	upstream	19	LINC01135
chr1	59250779	59250803	25	*	X01837	3725	59246463	59249785	3323	-	993	upstream	993	JUN
chr1	59762081	59762089	9	*	X01847	55277	59762625	60228402	465778	+	535	upstream	535	FGGY
chr1	60199430	60199438	9	*	X01849	100616409	60198899	60198968	70	-	461	upstream	461	MIR4711
chr1	63987589	63987597	9	*	X01878	84455	63989013	64038364	49352	+	1415	upstream	1415	EFCAB7
chr1	65719058	65719068	11	*	X01903	9829	65720148	65881552	161405	+	1079	upstream	1079	DNAJC6
chr1	65884128	65884136	9	*	X01914	3953	65886131	66103176	217046	+	1994	upstream	1994	LEPR
chr1	65884128	65884136	9	*	X01914	54741	65886131	65901690	15560	+	1994	upstream	1994	LEPROT
chr1	67604212	67604221	10	*	X01927	149233	67604590	67725650	121061	+	368	upstream	368	IL23R
chr1	70819687	70819695	9	*	X01942	11147	70820493	70833705	13213	+	797	upstream	797	HHLA3
chr1	71512323	71512331	9	*	X01944	100132618	71512189	71532865	20677	+	0	inside	133	ZRANB2-AS1
chr1	76188849	76188857	9	*	X01951	34	76190043	76229355	39313	+	1185	upstream	1185	ACADM
chr1	76188887	76188896	10	*	X01952	34	76190043	76229355	39313	+	1146	upstream	1146	ACADM
chr1	86046147	86046179	33	*	X01970	3491	86046444	86049648	3205	+	264	upstream	264	CCN1
chr1	86046217	86046226	10	*	X01971	3491	86046444	86049648	3205	+	217	upstream	217	CCN1
chr1	86046229	86046282	54	*	X01972	3491	86046444	86049648	3205	+	161	upstream	161	CCN1
chr1	86622567	86622575	9	*	X01975	255631	86194916	86622446	427531	-	120	upstream	120	COL24A1
chr1	87458058	87458066	9	*	X01980	339524	87458690	87634886	176197	+	623	upstream	623	LINC01140
chr1	87837319	87837328	10	*	X01981	100505768	87819210	87837338	18129	-	0	inside	9	LINC01364
chr1	89148072	89148085	14	*	X01986	5586	89149922	89301938	152017	+	1836	upstream	1836	PKN2
chr1	89989894	89989903	10	*	X01988	23507	89990397	90063420	73024	+	493	upstream	493	LRRC8B
chr1	90098250	90098258	9	*	X01990	84230	90098644	90185094	86451	+	385	upstream	385	LRRC8C
chr1	90098250	90098258	9	*	X01990	400761	90090408	90098453	8046	-	0	inside	194	LRRC8C-DT
chr1	91183046	91183054	9	*	X02001	343472	91177579	91182794	5216	-	251	upstream	251	BARHL2
chr1	92495483	92495492	10	*	X02027	253152	92495533	92529093	33561	+	40	upstream	40	EPHX4
chr1	92764312	92764321	10	*	X02029	79871	92764522	92853732	89211	+	200	upstream	200	RPAP2
chr1	92764312	92764321	10	*	X02029	11146	92711955	92764566	52612	-	0	inside	244	GLMN
chr1	93912615	93912629	15	*	X02035	54874	93913688	94020218	106531	+	1058	upstream	1058	FNBP1L
chr1	94312512	94312521	10	*	X02044	8412	94027343	94312706	285364	-	0	inside	184	BCAR3
chr1	100315685	100315694	10	*	X02047	178	100315640	100389579	73940	+	0	inside	44	AGL
chr1	104067723	104067736	14	*	X02067	55599	104068578	104097859	29282	+	841	upstream	841	RNPC3
chr1	104067739	104067759	21	*	X02068	55599	104068578	104097859	29282	+	818	upstream	818	RNPC3
chr1	104067765	104067776	12	*	X02069	55599	104068578	104097859	29282	+	801	upstream	801	RNPC3
chr1	107599037	107599045	9	*	X02070	55170	107599267	107601916	2650	+	221	upstream	221	PRMT6
chr1	108508319	108508328	10	*	X02071	10451	108113782	108507545	393764	-	773	upstream	773	VAV3
chr1	109642923	109642931	9	*	X02082	677766	109642815	109643234	420	+	0	inside	107	SCARNA2
chr1	109642951	109642959	9	*	X02083	677766	109642815	109643234	420	+	0	inside	135	SCARNA2
chr1	109656324	109656332	9	*	X02084	57535	109656585	109749403	92819	+	252	upstream	252	KIAA1324
chr1	109656324	109656332	9	*	X02084	127003	109648573	109656479	7907	-	0	inside	146	C1orf194
chr1	109825823	109825832	10	*	X02090	84722	109822176	109825808	3633	-	14	upstream	14	PSRC1
chr1	109825962	109825970	9	*	X02091	84722	109822176	109825808	3633	-	153	upstream	153	PSRC1
chr1	109825973	109825981	9	*	X02092	84722	109822176	109825808	3633	-	164	upstream	164	PSRC1
chr1	109941514	109941522	9	*	X02098	6272	109852188	109940563	88376	-	950	upstream	950	SORT1
